Participant ID,Country
1,Canada
3,South Korea
6,South Korea
7,South Korea
8,New Zealand
9,Denmark
11,Germany
13,Switzerland
15,United States
16,United States
17,Germany
18,Germany
19,United States
20,United States
23,United States
25,France
26,Switzerland
27,Germany
29,Germany
31,Canada
32,Germany
33,Russian Federation
34,Russian Federation
35,France
36,Switzerland
37,Russian Federation
38,Russian Federation
40,Russian Federation
42,France
43,United States
45,France
47,Russian Federation
48,Russian Federation
55,United Kingdom
56,Hungary
57,France
58,France
59,France
61,Denmark
63,Denmark
65,France
66,Russian Federation
69,France
70,Germany
76,United Kingdom
79,Denmark
80,United States
81,France
83,France
85,Germany
86,Denmark
90,Belgium
94,Morocco
95,Germany
96,Switzerland
97,Germany
99,Japan
100,United States
103,Switzerland
104,Switzerland
105,France
107,Puerto Rico
108,Germany
110,France
111,Japan
112,Germany
114,Japan
115,Germany
118,Switzerland
119,Germany
120,Germany
121,Germany
122,Switzerland
124,Switzerland
126,Germany
128,Taiwan
129,Switzerland
130,France
132,United States
133,France
134,France
136,United States
139,Japan
140,Poland
142,Slovakia
143,Germany
144,Canada
146,France
147,Germany
148,Germany
149,Germany
150,Germany
151,Germany
153,Germany
156,Russian Federation
157,Germany
160,South Korea
164,Spain
165,Spain
166,France
167,Germany
168,Belgium
169,France
170,Austria
172,France
173,Hong Kong
175,Germany
176,Germany
177,United States
178,United States
179,Canada
181,United States
182,Germany
183,Switzerland
184,France
187,Germany
188,United States
189,Switzerland
190,Germany
191,Germany
192,Germany
194,Basque Country
197,South Korea
200,South Korea
203,Germany
204,United States
206,New Zealand
207,Taiwan
208,Germany
209,South Korea
213,United Kingdom
214,South Korea
215,South Korea
216,South Korea
217,South Korea
218,Italy
219,Italy
220,Italy
221,Italy
223,Italy
224,Italy
225,Italy
226,Italy
227,South Korea
229,Denmark
230,Japan
231,Japan
234,Japan
236,Japan
237,Japan
238,United States
239,South Korea
240,South Korea
241,Sweden
242,France
243,Israel
244,Russian Federation
246,United Kingdom
247,Taiwan
249,Germany
250,Japan
251,Germany
252,Australia
253,Japan
254,Taiwan
255,South Korea
258,Canada
259,Netherlands
261,Japan
262,Germany
263,China
264,Germany
265,Germany
266,Australia
267,United Kingdom
268,Denmark
270,Denmark
273,Denmark
276,Japan
278,Japan
279,Japan
280,Switzerland
281,France
284,Germany
285,Germany
286,Germany
287,Japan
288,Japan
289,Japan
290,Japan
291,Germany
292,Japan
293,Japan
296,Japan
297,Japan
298,Japan
299,Japan
301,Japan
302,Japan
303,Japan
304,Japan
305,Japan
306,Japan
307,Japan
308,Japan
309,Germany
310,Germany
312,Taiwan
314,Taiwan
316,Japan
317,Japan
318,Japan
319,Japan
320,Japan
321,Japan
322,Japan
323,Japan
324,Japan
325,Japan
326,France
328,Japan
329,Japan
330,Germany
331,United States
332,United States
333,Switzerland
334,Japan
337,Taiwan
338,Japan
339,Taiwan
340,Japan
341,France
342,Taiwan
346,Japan
348,Denmark
349,Germany
350,Japan
351,Japan
352,Japan
355,Japan
356,Taiwan
357,Germany
359,Japan
360,Japan
361,Japan
362,Taiwan
363,Taiwan
364,Japan
365,Japan
366,Japan
367,Denmark
368,Japan
370,Taiwan
371,Japan
372,Taiwan
373,Taiwan
375,Taiwan
376,Japan
377,Japan
378,Taiwan
379,Japan
380,Taiwan
383,Japan
384,Japan
385,Taiwan
386,Denmark
387,Denmark
388,Denmark
390,Japan
392,Japan
393,Japan
394,Japan
395,Japan
396,Taiwan
397,Japan
399,Taiwan
400,Macao
403,Japan
404,Japan
406,Denmark
407,Denmark
408,Denmark
409,Singapore
410,Japan
412,Taiwan
413,Japan
414,Japan
415,Denmark
416,Australia
418,Japan
419,South Korea
420,Germany
421,Germany
422,Germany
423,South Korea
425,South Korea
