Participant ID,Name,Competition,Team Name,Category,Detail,Place,Status
1,Robin Dunlop,Muni Downhill Advanced,N/A,Male 30-49,03:06.00,13,N/A
1,Robin Dunlop,Cyclocross Standard,N/A,Male 30-49,31:02.000 (3 laps),8,N/A
1,Robin Dunlop,Cyclocross Standard,N/A,Expert Male,31:02.000 (3 laps),56,N/A
1,Robin Dunlop,Muni Uphill,N/A,Male 30-49,25:37.20,10,N/A
1,Robin Dunlop,Muni Uphill,N/A,Expert Male,25:37.20,46,N/A
1,Robin Dunlop,Muni Cross Country Elite Standard,N/A,Male 30-49,1:17:11 (2 laps),8,N/A
1,Robin Dunlop,Muni Cross Country Elite Standard,N/A,Expert Male,1:17:11 (2 laps),44,N/A
3,Jason Ahn,50m One-Foot,N/A,Male 50+,N/A,DQ,DQ
3,Jason Ahn,30m Wheel Walk,N/A,Male 50+,N/A,DQ,DQ
6,Jaein Kim,Downhill Gliding,N/A,Male 30+,N/A,DQ,DQ
6,Jaein Kim,Downhill Gliding,N/A,Expert Male,N/A,DQ,DQ
6,Jaein Kim,30m Wheel Walk,N/A,Male 30-49,N/A,DQ,DQ
7,Nari Jeong,100m,N/A,Female 30-39,N/A,DQ,DQ
7,Nari Jeong,400m,N/A,Female 30-39,N/A,DQ,DQ
7,Nari Jeong,50m One-Foot,N/A,Female 30+,N/A,DQ,DQ
7,Nari Jeong,800m,N/A,Female 30-39,N/A,DQ,DQ
7,Nari Jeong,IUF Slalom,N/A,Female 30+,N/A,DQ,DQ
7,Nari Jeong,10k Standard,N/A,Female 30+,N/A,DQ,DQ
7,Nari Jeong,10k Standard,N/A,Expert Female,N/A,DQ,DQ
8,Ken Looi,100k Standard Solo,N/A,Male 23+,4:31:50 (4 laps),2,N/A
8,Ken Looi,100k Standard Solo,N/A,Expert Male,4:31:50 (4 laps),2,N/A
8,Ken Looi,Muni Uphill,N/A,Male 30-49,N/A,DQ,DQ
8,Ken Looi,Muni Uphill,N/A,Expert Male,N/A,DQ,DQ
8,Ken Looi,Cyclocross Standard,N/A,Male 30-49,N/A,DQ,DQ
8,Ken Looi,Cyclocross Standard,N/A,Expert Male,N/A,DQ,DQ
8,Ken Looi,10k Standard,N/A,Male 40-49,33:07.184,1,N/A
8,Ken Looi,10k Standard,N/A,Expert Male,33:07.184,4,N/A
8,Ken Looi,Marathon Standard,N/A,Male 30+,1:44:51,1,N/A
8,Ken Looi,Marathon Standard,N/A,Expert Male,1:44:51,5,N/A
8,Ken Looi,Muni Cross Country Elite Standard,N/A,Male 30-49,1:21:10,5,N/A
8,Ken Looi,Muni Cross Country Elite Standard,N/A,Expert Male,1:21:10,28,N/A
9,Emma Kvist,Muni Uphill,N/A,Female 19+,N/A,DQ,DQ
